Name,AnimalType,AgeuponOutcome,Breed,Color,neutered/spayed,adopted
1,0,0,1,Black,0,1
1,1,2,0,Black,1,1
1,1,1,1,White/Brown,1,1
0,0,1,1,Brown Tabby,0,0
1,1,2,1,Brown/White,1,0
1,1,3,1,Chocolate/White,1,0
1,1,2,1,Red/White,1,1
1,0,2,1,Calico,1,0
1,1,1,0,Black/White,1,1
1,1,2,1,Black/Tan,1,0
1,1,1,0,Brown Brindle,1,0
1,0,2,1,Flame Point,1,0
1,1,2,1,Brown,1,0
0,0,2,1,Blue/White,0,0
0,0,1,1,Tortie,0,0
1,1,0,0,Tricolor,1,1
0,0,0,1,Orange Tabby/White,1,1
0,0,1,1,Cream Tabby,1,1
1,0,2,1,Brown Tabby/White,1,0
1,0,0,1,Calico,1,1
1,1,1,1,Yellow,1,1
1,0,0,1,Brown Tabby,1,1
0,1,1,1,Tan,1,1
1,1,1,1,Brown/White,0,0
1,0,1,1,Black/White,1,1
0,0,0,1,Calico,0,0
1,0,2,1,Brown Tabby,1,1
1,1,1,1,Blue/White,1,1
0,1,1,1,Tricolor,1,0
1,1,2,0,Brown,1,0
1,1,2,1,Red,1,0
1,1,2,1,Brown/White,1,1
1,0,1,0,Calico,1,1
0,1,1,0,Red,0,0
0,0,1,1,Torbie,0,0
1,0,0,1,Black Tabby/White,1,1
1,1,3,1,Brown/White,1,0
1,0,2,1,Black/White,1,1
0,0,0,1,Tortie/Calico,0,0
1,1,1,1,Black/White,1,1
1,1,1,1,Black/White,0,1
1,1,3,0,White,1,0
0,0,0,1,Black,1,1
1,0,0,1,Blue Tabby/White,1,1
0,1,1,1,White,1,0
1,0,0,1,Brown Tabby,0,0
0,0,1,1,Blue Tabby,0,0
1,1,1,1,White/Tan,1,1
1,1,2,0,Black/Brown,1,1
1,0,3,1,Tortie,1,0
0,1,0,0,Tricolor,1,1
1,0,0,1,White/Black,1,0
1,0,0,1,Brown Tabby,0,1
1,1,0,0,Black/Brown Brindle,1,1
1,1,3,0,White/Tan,1,0
0,0,0,1,Cream Tabby/White,0,0
1,1,2,0,White/Gray,1,0
1,1,2,1,Tan/White,1,0
1,1,1,1,White/Black,1,0
1,1,2,1,Brown Brindle/White,1,0
0,0,0,1,Brown Tabby,0,0
1,0,1,1,Black/White,0,0
1,1,2,0,Tan/Silver,1,1
0,0,1,1,Orange Tabby,0,0
1,1,2,1,White,1,0
1,0,1,1,Brown Tabby/White,1,1
1,1,3,0,White/Tan,1,0
0,1,1,1,Black/White,1,1
1,1,2,0,Red,1,1
1,0,1,1,Torbie,1,1
1,1,1,0,Red Tick/Black,1,1
0,0,1,1,White/Cream Tabby,1,0
1,1,1,1,Blue Merle,1,1
1,1,1,1,Black/White,1,1
1,1,1,1,Yellow,1,1
1,1,3,1,Chocolate/Tan,0,0
0,0,1,1,Black,0,0
1,1,2,1,Tan/White,1,0
0,1,2,1,Tan/White,1,1
0,0,3,1,Orange Tabby/White,1,0
1,1,2,1,Sable,1,1
1,1,3,1,Black/White,1,1
1,0,1,1,Black,1,1
1,1,1,1,Tricolor,1,0
1,0,1,1,Black,1,0
1,0,3,1,Black,0,0
0,1,0,1,Chocolate/White,0,0
1,1,1,0,White/Brown,1,1
0,1,2,0,Black/White,1,1
1,1,2,1,Brown Brindle/White,1,1
1,1,2,1,Brown Merle/White,0,0
0,1,2,1,Tan/White,1,1
0,0,0,1,Calico,0,0
1,1,1,1,Brown Tiger/White,1,0
0,0,2,1,Brown Tabby/White,0,0
1,0,0,1,Brown Tabby,0,0
1,1,2,1,White/Brown,1,0
0,0,0,1,Brown Tabby,0,0
1,0,0,1,Black,0,1
1,1,1,1,White/Black,1,0
1,1,0,1,Brown/White,1,1
1,1,1,0,Black/White,1,1
0,1,2,1,Buff,1,1
1,1,3,0,Black,1,0
1,0,2,1,White/Black,1,0
0,1,2,0,Black/White,1,0
1,1,2,1,Black/White,0,0
1,1,2,0,Brown,1,0
1,1,3,0,Brown/Black,1,0
0,0,1,1,Brown Tabby/White,0,0
1,0,3,1,Black/White,1,1
1,0,0,1,Orange Tabby/White,1,1
1,1,1,1,Tan/Black,1,0
0,0,0,1,Orange Tabby/White,1,1
1,1,3,1,Brown Brindle,1,0
0,0,0,1,Brown Tabby/White,0,0
1,1,2,1,Brown/Black,1,1
1,0,3,1,Flame Point,1,1
1,0,1,1,Brown Tabby/White,1,1
1,1,2,1,Red,1,1
0,0,2,1,Black,0,0
0,1,3,0,Liver/White,1,1
0,0,0,1,White/Blue Tabby,0,0
1,1,2,1,Brown/White,1,0
1,1,1,1,Black/White,0,0
1,1,2,0,Black/White,1,0
1,1,2,1,Buff,1,0
1,1,3,1,Tricolor,1,0
1,1,1,0,Brown,1,1
0,0,0,1,Orange Tabby/White,1,0
1,1,0,0,Black/Brown,1,1
1,0,0,1,White/Black,1,1
0,0,2,1,Blue,0,0
1,1,2,0,Tan/White,1,0
1,1,1,1,Black/White,1,1
1,1,2,1,Black/White,1,1
1,1,3,0,Buff,1,0
1,0,0,1,Brown Tabby,1,1
1,1,3,1,Tan,1,1
1,0,2,1,Brown Tabby/White,1,1
1,1,3,1,White/Black,1,0
0,1,1,0,Tan/Black,1,1
1,1,2,1,Brown Brindle/White,1,0
1,1,3,1,Black/Gray,1,0
0,0,0,1,Brown Tabby,0,0
0,1,3,1,Tan/White,1,0
1,1,1,1,Black,1,1
1,1,1,0,White/Brown,1,1
0,0,0,1,Orange Tabby,0,0
0,0,1,1,Orange Tabby,0,0
1,1,2,0,Black/Brown,1,0
1,1,2,1,Black/Tan,1,0
1,1,1,1,White/Cream,1,1
0,0,1,1,Black,0,0
1,1,1,0,Fawn/White,1,1
0,0,0,1,Black/White,0,0
0,0,0,1,Blue,0,0
0,0,2,1,Calico,1,0
0,1,1,1,Chocolate/White,1,1
0,1,1,1,Cream,0,0
1,0,0,1,Orange Tabby,1,1
1,0,1,0,Black/White,1,0
1,1,3,1,Chocolate/White,0,0
1,1,3,1,Chocolate,1,0
1,1,2,0,Gray/White,1,1
1,1,1,1,Brown Brindle,1,0
1,1,1,1,Tan/White,1,1
1,1,2,1,Tan/White,1,1
1,0,0,1,Black/White,0,0
1,1,1,0,Black/White,1,1
0,0,0,1,Blue Point,0,0
1,1,2,1,White/Brown,1,0
1,0,3,1,Orange Tabby,1,1
1,0,1,1,Calico,1,1
1,1,0,1,Brown/White,1,1
0,0,1,1,Tortie,1,1
0,1,2,0,Tan/Black,0,0
1,1,3,1,Brown,1,0
1,1,1,1,Brown Brindle/White,1,0
0,1,1,1,Tan/White,1,0
0,1,2,0,Apricot/White,1,0
1,0,0,1,Blue/White,1,1
0,1,2,1,Red,1,0
0,1,0,1,Red Merle/Black,1,1
1,0,1,1,Black,1,1
1,0,3,1,Black/White,1,1
1,0,2,1,Brown Tabby,1,0
1,1,2,1,Brown/White,1,1
0,1,0,1,White/Brown,0,0
0,0,0,1,Tortie,0,0
1,0,0,1,Brown Tabby,1,1
1,1,2,1,Brown,1,1
1,0,2,1,Brown Tabby/White,1,0
1,1,2,1,Chocolate/White,1,1
0,0,1,1,Calico,0,0
0,1,2,1,Black/Gray,1,0
1,1,3,0,Sable,1,0
0,0,1,1,Black/White,0,0
1,0,0,1,Calico,0,0
1,1,1,1,Sable,1,1
1,1,3,1,Tricolor,1,0
0,1,1,1,Buff,1,1
0,0,1,1,Seal Point,0,0
1,1,1,0,Black/Tan,1,1
1,1,1,1,Brown/Black,1,1
1,1,0,1,Tricolor,1,1
0,0,0,1,Blue Tabby,0,0
0,1,2,1,Tan,1,1
0,0,0,1,Orange Tabby/White,1,1
1,0,1,1,White/Brown Tabby,1,0
0,1,2,1,Black/White,1,0
1,1,1,0,Red/White,1,1
0,0,0,1,White,0,0
1,1,3,0,Blue Merle/White,0,0
1,1,0,0,Black/White,1,1
0,0,1,1,Blue Tabby,0,0
1,0,0,1,Black/White,0,0
0,0,1,1,Black,0,0
1,0,0,1,Torbie,0,1
1,1,2,1,Fawn,0,0
0,1,1,0,Tricolor,1,1
0,0,1,1,Brown Tabby,0,0
0,0,1,1,Lynx Point/White,1,1
0,0,0,1,Black/White,0,0
1,0,1,1,Orange Tabby/White,1,1
1,1,2,0,Brown Brindle,1,1
1,1,2,1,Fawn/White,1,0
0,0,0,1,Brown Tabby,0,0
1,0,0,1,Black,1,1
0,1,1,1,Tan/White,1,1
0,1,2,0,Black/White,1,0
1,1,1,0,White,1,1
0,0,0,1,Blue,0,0
1,1,1,0,Fawn/Black,1,0
1,0,1,1,Brown Tabby/White,1,1
1,1,2,1,Brown/White,1,1
1,1,3,0,Black/White,1,0
1,0,0,1,Brown Tabby,1,1
1,0,3,1,Black/White,1,0
1,1,2,1,Tricolor,0,0
1,0,1,1,Black/White,1,0
1,1,2,0,Red Tick/White,1,1
1,1,3,1,Yellow,0,0
1,1,1,1,Black,1,1
0,1,2,1,Yellow,1,0
1,0,0,1,Calico,1,1
0,1,0,1,White,0,0
1,1,1,1,Tricolor,1,0
1,0,0,1,Black/White,1,1
1,1,2,0,Tan/White,1,0
1,1,3,1,White,1,0
1,1,1,1,Blue,1,0
1,0,3,1,Orange Tabby,1,1
1,1,2,1,Tan,1,0
1,1,2,0,Chocolate/White,1,1
1,1,2,1,Tan/White,1,1
1,0,1,1,Flame Point,1,1
0,0,1,1,Black/White,1,1
1,1,1,0,Buff/Tan,0,0
1,0,1,1,Black,1,0
1,1,2,0,White/Tan,1,0
1,1,2,1,Black/Tan,0,0
0,0,0,0,Blue,0,0
0,0,0,1,Black/White,0,0
0,0,0,1,Tortie,0,0
1,1,2,0,Black,1,0
1,1,1,1,Brown/White,1,1
0,0,0,1,Blue Tabby,0,0
0,1,2,1,White/Tan,1,1
1,1,1,0,Red/White,0,0
1,1,2,0,Brown,1,1
1,0,0,1,Tortie,0,0
1,1,2,0,Tricolor,1,1
0,0,2,1,Brown Tabby,1,0
0,1,1,1,Brown Brindle/Red Tick,1,0
1,1,2,0,Brown Brindle,0,0
1,1,1,1,Brown/White,1,0
1,0,0,1,Brown Tabby/White,0,0
1,1,1,1,White/Brown,1,1
0,1,0,1,Black/Tan,1,0
1,1,3,0,Brown,1,0
1,1,2,1,Brown,1,1
1,1,1,1,White/Blue,1,1
0,1,1,0,Tricolor,1,1
1,1,0,0,Chocolate/White,1,1
1,1,1,1,Black/Tan,0,0
1,1,2,1,Blue/White,1,1
1,1,2,1,Black/White,1,0
1,0,0,1,Lilac Point,0,1
1,1,2,1,Blue/White,1,0
1,1,2,0,Brown Brindle/White,1,0
0,1,0,1,Brown/Black,1,1
1,0,3,1,Tortie,1,0
0,0,2,1,Blue,1,0
1,1,1,1,Black,0,0
1,0,3,1,Brown Tabby/White,0,0
1,0,0,1,Orange Tabby,1,1
1,1,1,1,Buff/White,1,1
1,1,1,0,Blue/White,1,0
0,0,2,1,Tortie,0,0
1,0,0,1,Blue Tabby,1,1
1,0,1,1,Lilac Point,1,1
0,1,3,1,White,1,1
1,1,2,1,Brown,1,1
1,1,1,1,Brown Brindle/White,0,0
1,0,0,1,Brown Tabby,1,1
1,0,1,1,White/Orange Tabby,1,1
1,0,2,1,White/Orange Tabby,1,0
1,0,1,1,Black/White,1,1
0,0,0,1,Torbie,0,0
0,0,1,1,Brown Tabby,1,1
1,0,1,1,Tortie Point,1,1
1,0,0,1,Orange Tabby/White,1,0
1,0,0,1,Brown Tabby/White,0,0
1,1,1,1,Black/White,1,0
0,1,0,1,Brown/Black,0,0
0,1,2,1,Black/Tan,1,0
1,1,2,0,Black,1,1
1,1,3,0,Tricolor,0,0
1,1,1,1,White/Blue,0,1
0,0,1,1,Brown Tabby/White,1,1
1,1,2,1,Yellow,1,0
0,1,0,1,Tricolor,0,0
1,0,0,1,Torbie,1,0
0,1,0,1,Buff/White,0,0
1,1,1,0,Black,0,0
1,1,2,1,Black,1,0
1,1,3,0,Tricolor,1,0
0,0,0,1,Blue,1,1
1,1,2,1,Black/White,1,0
0,0,0,1,Torbie,0,1
1,1,3,1,Buff,1,1
1,1,0,1,Chocolate/White,0,0
1,1,2,1,White/Brown,1,0
0,0,0,1,Orange Tabby/White,0,0
0,0,1,1,Black/White,0,0
1,1,2,1,Black/Tan,1,0
1,0,0,1,Black,1,1
1,0,0,1,Orange Tabby,1,1
0,0,3,1,Lynx Point,1,0
0,1,0,1,White,0,0
1,1,3,1,White,1,0
1,1,1,1,Chocolate/White,1,0
1,1,3,0,Cream,1,0
0,0,0,1,Blue Tabby/White,0,0
1,1,2,1,Black/White,1,0
1,1,2,1,Black/Tan,1,0
1,1,2,1,Black,1,1
1,1,2,1,Brown,1,0
0,0,0,1,Black,0,0
0,0,0,1,White/Brown Tabby,0,0
0,1,1,1,Tricolor,1,1
1,0,3,1,Brown Tabby,1,0
1,1,3,1,Red/White,1,0
1,1,2,0,Black/White,0,0
1,1,2,0,Black,1,0
0,0,2,1,Blue Tabby,1,0
1,1,1,1,Red,1,0
1,0,1,1,Calico,1,1
0,0,1,1,Black,0,0
1,0,1,1,Brown Tabby,0,1
1,1,1,1,Tan,1,1
1,0,1,1,Tortie/White,1,1
0,0,1,1,Cream Tabby,0,0
1,1,1,1,Tan/White,1,0
1,0,0,1,Black,1,1
1,1,1,1,Black,1,1
0,0,1,1,Calico,0,0
1,1,2,1,Cream,1,0
0,1,0,1,White,0,0
1,1,2,1,Yellow,1,0
1,1,2,1,Black/White,1,1
1,1,0,1,Tricolor,1,1
1,1,1,1,White/Brown,0,0
1,1,3,1,Black/Tricolor,0,0
1,1,2,1,Tan,1,0
0,0,0,1,Brown Tabby,0,0
1,1,3,0,Brown/White,1,0
1,1,1,0,Apricot,1,0
1,0,1,1,Orange Tabby,0,1
1,0,2,1,Black/White,1,0
1,1,2,1,White/Brown,0,0
1,1,0,1,Brown/Black,1,1
0,0,0,1,Brown Tabby,0,0
0,0,0,1,Brown Tabby,0,0
0,0,0,1,Brown Tabby,0,0
1,1,1,1,Tan/Black,1,0
0,0,0,1,Calico,0,0
1,0,3,1,Blue,1,0
1,0,0,1,Tortie/White,0,0
1,1,3,0,Black/Tan,1,0
1,0,1,1,Cream,1,0
1,1,2,1,Tricolor,1,0
1,1,2,0,Black,0,0
1,1,3,1,Sable,1,0
1,1,2,0,White/Gray,1,1
1,1,1,0,Red/Tan,1,1
1,0,1,1,Orange Tabby/White,1,1
0,1,3,0,Tan/Brown,0,0
1,1,1,0,Brown Brindle,1,1
1,0,1,1,Orange Tabby,1,1
0,0,2,1,Orange Tabby,0,0
1,1,2,1,White/Tan,1,0
0,1,0,1,Brown/White,0,0
1,0,0,1,Cream Tabby,1,1
1,0,3,1,Orange Tabby/White,1,1
1,0,0,1,Black,0,0
1,1,2,1,White/Tricolor,1,0
1,0,3,1,White/Cream Tabby,1,0
1,1,3,0,Brown/Black,1,0
1,0,0,1,Calico,1,1
1,0,1,1,Brown Tabby,1,1
1,1,2,1,Brown,1,0
1,1,3,1,Black/White,1,0
0,0,3,1,Black/White,1,0
1,1,2,0,Tan/White,1,0
0,0,0,1,Lynx Point,1,1
0,1,1,0,Red,1,1
0,0,1,1,Black/White,0,0
0,1,0,0,Black,1,1
1,0,2,1,Brown Tabby/White,1,1
0,0,0,1,Black/White,1,0
1,0,2,1,White/Black,1,0
1,1,2,1,Tricolor,1,0
0,1,2,1,Tan,1,1
1,0,0,1,Brown Tabby,0,0
1,1,0,1,Black,1,1
1,0,2,1,White,1,1
1,0,2,1,Blue/White,1,0
1,0,0,1,Seal Point,0,0
1,1,3,0,Brown/Tricolor,1,1
1,0,0,1,Tortie,0,0
1,1,2,0,White/White,1,1
1,0,0,1,Brown Tabby/White,1,0
0,0,2,1,Tortie,0,0
0,1,0,1,Black,0,0
1,0,2,1,Black,1,1
1,0,1,1,Brown Tabby,1,1
0,0,0,1,Orange Tabby,0,0
0,1,0,1,Red,0,0
1,1,1,1,Black/White,1,0
1,0,0,1,Tortie,1,1
0,0,0,1,Brown Tabby,0,0
1,1,2,1,White/Black,1,1
1,1,3,1,Tricolor,1,1
1,1,2,0,Brown/Black,1,0
1,1,1,1,Fawn/White,0,0
1,1,3,1,White/Brown,1,0
1,1,2,1,Buff,1,1
1,0,0,1,Brown Tabby/White,1,1
1,1,1,1,Black/Brown,1,1
1,1,1,1,Tan/Black,1,1
0,0,0,1,Brown Tabby/White,0,0
1,1,0,1,Black/White,1,1
0,0,0,1,Gray Tabby,1,0
1,1,0,1,Brown/Black,1,1
1,0,0,1,Black,1,1
0,0,0,1,Brown Tabby/White,0,0
1,0,1,1,Black/White,1,0
1,1,2,1,Brown/White,1,1
1,0,3,1,Black,1,0
1,1,2,1,Tan/White,1,0
1,1,2,1,Brown/White,1,0
1,1,2,1,Blue/White,0,0
0,1,0,0,Sable/White,1,1
1,1,2,1,Blue Tiger/White,0,0
1,1,2,1,Black/Brown,1,0
1,1,1,0,Blue/White,1,1
1,0,3,1,Black/White,1,1
0,1,0,1,Black/White,0,0
1,1,1,1,Yellow Brindle,1,1
1,1,3,1,Sable,1,1
1,0,2,1,Brown Tabby,1,1
1,0,0,1,Brown Tabby/White,1,1
1,1,1,1,Black/Tan,1,0
1,1,1,1,Blue/White,0,1
0,1,0,1,Black/White,0,0
1,1,2,0,Black/White,1,0
0,0,0,1,Tortie/White,0,0
0,0,1,1,Black,0,0
0,0,1,1,Tortie,0,0
1,1,1,0,Gray,1,0
1,0,1,1,Blue/White,1,0
0,1,0,0,Tan,1,1
1,0,0,1,Tortie,1,1
0,1,3,0,White/Tan,0,0
1,1,2,1,White/Brown Brindle,1,1
1,1,1,1,Tan/White,1,1
0,0,0,1,White,0,0
0,0,0,1,Brown Tabby,0,0
0,1,1,1,Tan/White,1,1
1,1,3,1,Black,1,0
1,0,0,1,Cream Tabby,1,1
1,1,2,1,White,0,0
1,1,3,1,Gold,1,0
0,0,0,1,White,0,0
1,0,0,1,Black Tabby/White,1,1
0,1,1,1,Brown Brindle/White,1,0
1,0,0,1,Calico,1,1
0,0,0,1,Calico,0,0
0,1,0,1,Chocolate/White,1,1
0,1,0,1,Tricolor,0,0
1,1,1,1,Brown/White,1,0
1,0,1,1,Orange Tabby/White,1,0
1,1,1,1,Blue/White,1,0
1,1,0,0,Black/Tan,1,1
0,1,0,1,Brown,0,0
0,0,0,1,Lynx Point,1,1
0,0,1,1,Black,0,0
1,0,2,1,Orange Tabby,1,0
1,0,0,1,Orange Tabby,1,1
1,1,2,1,White,1,0
1,1,1,1,Brown/White,1,1
1,1,1,0,Black/White,1,1
1,1,2,1,Brown/White,1,1
1,0,1,1,Blue/White,1,1
1,1,1,0,Brown/Tan,1,0
0,1,2,1,Black/Gray,1,1
1,1,1,0,Brown/White,0,0
1,1,2,1,Black/Tan,0,0
1,1,1,1,Brown Brindle,1,0
1,1,2,1,Black/Tan,1,1
1,1,1,1,Blue Tick,0,0
1,1,0,0,Black/Brown,0,0
1,1,2,1,Brown/White,1,1
1,1,0,1,Sable,1,1
1,0,3,1,Calico,1,0
1,1,2,1,White/Gray,1,0
1,1,1,1,Brown/Black,1,1
1,0,1,1,White,1,1
1,1,1,0,White,1,0
1,1,1,1,Black,1,1
1,0,2,1,White/Blue,1,0
0,1,0,1,Black,1,1
0,0,1,1,Black/White,0,0
1,0,0,1,Black,1,0
1,0,1,1,Cream Tabby/White,1,1
1,0,1,1,Lynx Point,1,1
1,1,1,1,White/Black,1,0
1,1,2,1,Brown,1,0
1,0,1,1,Blue Tabby,1,1
1,0,0,1,Orange Tabby,0,0
0,0,0,1,Brown Tabby,0,0
1,0,1,1,Black/White,1,1
1,0,0,1,Black/White,0,1
1,1,1,1,Black/White,1,1
1,0,3,1,Orange Tabby/White,1,0
1,1,3,1,Brown/Tan,1,0
0,0,0,1,White/Black,0,0
1,1,1,0,Black,1,0
1,0,0,1,Orange Tabby,0,0
1,1,2,1,White,1,1
0,1,3,1,Brown,0,0
1,1,3,1,Tan,1,0
1,1,1,1,White/Black,1,1
1,1,2,0,Red/White,1,0
1,1,1,1,Tan/Black,1,0
1,0,0,1,Torbie/White,1,1
0,0,0,1,Black,0,0
1,0,2,1,Blue/White,0,0
1,0,0,1,Blue Tabby,1,1
1,0,2,1,Black,1,1
1,0,0,1,Orange Tabby,1,1
1,0,0,1,Black Smoke/White,1,1
1,1,2,1,Tricolor,1,1
1,0,1,1,Brown Tabby/White,1,1
1,0,0,1,White/Black,1,1
1,0,0,1,Brown Tabby/White,1,1
1,1,2,1,Tan/White,1,0
1,1,2,1,Fawn/White,1,0
1,0,0,1,Black,0,0
1,1,1,1,Yellow Brindle,1,0
1,1,2,1,Black/Tan,1,0
0,0,0,1,Blue,1,1
1,1,2,1,Black/Tan,1,0
1,1,3,1,Tan/Black,1,0
1,1,1,1,Black/Tan,0,0
1,0,2,1,Blue Tabby/Orange,1,0
1,0,0,1,White/Brown Tabby,1,1
1,1,1,1,Brown/Black,1,0
1,1,0,1,White/Brown,1,1
1,0,3,1,Blue Point,1,0
1,1,3,0,White/Tan,1,0
0,0,1,1,Calico,0,0
1,0,1,1,Brown Tabby/White,1,1
1,0,1,1,Brown Tabby,1,1
1,1,2,1,Black/Brown,1,0
1,0,0,1,Blue,0,0
1,1,0,1,Fawn,0,0
0,0,0,1,Calico,0,0
1,0,1,1,Brown Tabby/White,1,0
1,1,3,1,White/Gray,1,0
1,1,3,1,Buff/Tan,1,0
1,1,3,1,Black,1,0
1,0,3,1,Black,1,0
1,0,0,1,Torbie,1,1
1,0,3,1,Brown Tabby,1,1
1,1,1,0,White/Brown,1,0
0,0,2,1,Blue Tabby/White,0,0
1,1,1,0,Black,1,1
0,0,0,1,Orange Tabby/White,0,0
1,1,1,1,Black/Tan,1,0
0,0,0,1,Blue Tabby,0,0
1,1,1,1,Red Merle,1,1
1,1,3,1,Brown Brindle/White,1,0
1,1,1,1,Tricolor/Blue,1,1
1,1,2,1,White/Brown,1,0
1,1,2,0,Brown,1,1
1,1,2,0,Red,0,0
1,0,1,1,Orange Tabby/White,1,0
1,1,2,1,Black/White,1,0
1,1,1,1,Red/White,1,1
1,0,0,1,Orange Tabby,0,0
0,0,2,1,White/Black,1,1
0,1,0,0,White,0,0
1,1,1,1,Black/White,1,1
1,1,3,1,Tricolor,1,0
0,1,0,1,Tricolor,0,0
1,1,2,1,White/Brown,1,1
0,1,1,0,Black/Brown,1,0
1,1,1,1,Tan,1,1
1,1,2,1,Yellow/White,0,0
1,1,1,1,White/Brown,1,1
0,0,1,0,Chocolate,1,1
1,1,0,0,Brown/White,1,1
1,0,1,1,Brown Tabby,1,1
1,1,2,1,Chocolate/White,0,0
1,1,1,1,Black,0,0
1,1,2,1,Tan/White,1,0
0,0,1,1,Orange Tabby/White,0,0
0,0,2,1,Calico,0,0
1,0,1,1,Calico,1,0
1,0,0,1,White/Blue,1,1
1,0,2,1,Brown Tabby,1,1
1,0,2,1,Blue Tabby,1,0
1,0,1,1,Torbie,1,1
0,1,0,1,White/Black,0,0
0,0,0,1,Blue,0,0
1,1,0,0,Black/White,1,1
1,0,2,1,Brown Tabby/White,1,0
1,0,0,1,Brown Tabby,0,0
1,0,1,1,Black,1,1
1,1,2,0,Cream,0,0
1,0,0,1,Black Smoke,1,1
0,0,0,1,Black,0,0
1,0,1,1,Black,1,0
1,1,2,1,Brown Brindle/White,1,0
1,1,3,1,Black,1,0
1,0,1,1,Tortie,1,1
